,open,high,low,close,volume
2025-05-01 16:00:00,280.49,288.1295,264.9965,278.69,10226110.0
2025-05-01 17:00:00,278.73,295.0573,272.5728,278.7,274193.0
2025-05-01 18:00:00,278.7,280.52,277.2,277.69,349189.0
2025-05-01 19:00:00,277.57,278.5,277.45,277.5001,256463.0
2025-05-02 04:00:00,281.5,282.99,280.32,280.52,282658.0
2025-05-02 05:00:00,280.58,281.8,280.52,281.7,118375.0
2025-05-02 06:00:00,281.63,282.43,281.26,281.6,122562.0
2025-05-02 07:00:00,281.53,282.0,280.91,281.66,186385.0
2025-05-02 08:00:00,281.28,285.47,280.52,285.12,1554983.0
2025-05-02 09:00:00,285.09,293.995,259.16,282.4081,13051468.0
2025-05-02 10:00:00,282.445,286.94,279.81,286.515,18737852.0
2025-05-02 11:00:00,286.47,288.25,284.88,286.86,13126496.0
2025-05-02 12:00:00,286.9102,292.53,286.12,292.04,17293387.0
2025-05-02 13:00:00,292.0008,294.49,290.68,293.8166,15781108.0
2025-05-02 14:00:00,293.8055,294.78,290.639,291.0,11055108.0
2025-05-02 15:00:00,290.98,291.03,285.77,287.25,18561766.0
2025-05-02 16:00:00,287.25,300.2414,268.0615,287.66,6478423.0
2025-05-02 17:00:00,287.63,304.5401,237.1,288.05,260616.0
2025-05-02 18:00:00,288.04,288.3,287.0,287.79,157178.0
2025-05-02 19:00:00,287.78,288.57,287.71,288.45,229465.0
2025-05-05 04:00:00,287.33,288.2,284.8,285.7,286573.0
2025-05-05 05:00:00,285.68,286.68,285.49,286.1,121294.0
2025-05-05 06:00:00,286.06,286.22,284.29,285.71,186711.0
2025-05-05 07:00:00,285.7,285.78,284.31,284.6,235487.0
2025-05-05 08:00:00,284.62,288.37,284.25,284.64,805369.0
2025-05-05 09:00:00,284.63,293.61,278.35,279.5893,14229969.0
2025-05-05 10:00:00,279.61,281.582,274.4,276.925,21041775.0
2025-05-05 11:00:00,276.85,277.59,274.8,276.5571,11247272.0
2025-05-05 12:00:00,276.5551,280.1099,276.0,279.915,9569380.0
2025-05-05 13:00:00,279.9153,280.9245,279.31,280.16,8880090.0
2025-05-05 14:00:00,280.18,283.39,279.9,281.405,9774663.0
2025-05-05 15:00:00,281.43,282.73,279.27,280.21,12235428.0
2025-05-05 16:00:00,280.21,298.2389,269.879,279.16,9145880.0
2025-05-05 17:00:00,279.18,298.2389,251.94,278.71,192922.0
2025-05-05 18:00:00,278.69,280.26,278.1,278.3,126880.0
2025-05-05 19:00:00,278.35,280.26,278.04,278.25,178139.0
2025-05-06 04:00:00,275.5,276.72,274.82,276.1,289600.0
2025-05-06 05:00:00,276.1,276.14,274.79,275.5,176712.0
2025-05-06 06:00:00,275.45,276.14,275.22,275.62,98989.0
2025-05-06 07:00:00,275.68,276.56,274.95,275.59,331673.0
2025-05-06 08:00:00,275.4,280.26,274.54,275.12,786546.0
2025-05-06 09:00:00,275.08,277.73,271.35,272.36,15209491.0
2025-05-06 10:00:00,272.375,275.75,271.88,274.179,14442094.0
2025-05-06 11:00:00,274.11,276.15,272.6212,272.82,9103295.0
2025-05-06 12:00:00,272.8188,275.0885,272.25,273.095,8837928.0
2025-05-06 13:00:00,273.054,274.55,272.75,273.045,6704423.0
2025-05-06 14:00:00,273.0214,275.5286,272.8,275.48,6873931.0
2025-05-06 15:00:00,275.47,276.71,274.79,275.23,8246290.0
2025-05-06 16:00:00,275.22,292.6859,256.5463,274.59,6772023.0
2025-05-06 17:00:00,274.59,292.6859,258.5087,273.39,157402.0
2025-05-06 18:00:00,273.42,279.89,273.39,279.82,1015510.0
2025-05-06 19:00:00,279.88,279.89,278.32,278.825,403569.0
2025-05-07 04:00:00,278.56,279.93,277.61,279.08,409360.0
2025-05-07 05:00:00,279.18,279.52,278.43,279.15,98865.0
2025-05-07 06:00:00,279.18,279.25,278.46,278.65,121195.0
2025-05-07 07:00:00,278.65,279.5,278.21,278.97,190507.0
2025-05-07 08:00:00,278.93,279.8,275.35,277.76,1048381.0
2025-05-07 09:00:00,277.66,277.92,274.51,275.9423,10031513.0
2025-05-07 10:00:00,275.915,277.17,273.76,274.19,11530680.0
2025-05-07 11:00:00,274.16,274.54,272.1301,273.19,9217062.0
2025-05-07 12:00:00,273.19,274.67,272.25,274.5263,5428179.0
2025-05-07 13:00:00,274.53,275.99,273.72,274.01,5861689.0
2025-05-07 14:00:00,274.01,275.86,271.0,275.6889,11714475.0
2025-05-07 15:00:00,275.67,277.25,272.5001,276.17,11563781.0
2025-05-07 16:00:00,276.14,287.3083,256.8909,275.9,7187350.0
2025-05-07 17:00:00,275.84,279.1463,258.7589,275.625,97955.0
2025-05-07 18:00:00,275.63,275.85,254.11,275.245,137078.0
2025-05-07 19:00:00,275.27,276.56,275.15,276.1,207074.0
2025-05-08 04:00:00,278.8,280.55,277.6,280.21,334095.0
2025-05-08 05:00:00,280.25,281.6,280.13,280.31,272819.0
2025-05-08 06:00:00,280.36,281.19,280.3,280.9,142585.0
2025-05-08 07:00:00,280.84,281.0,279.3,279.98,282933.0
2025-05-08 08:00:00,278.675,281.569,273.29,279.4,926527.0
2025-05-08 09:00:00,279.39,286.74,227.5,284.1155,15582370.0
2025-05-08 10:00:00,284.2,285.3999,279.48,281.2186,17555187.0
2025-05-08 11:00:00,281.2199,289.8,280.589,288.8003,18431502.0
2025-05-08 12:00:00,288.81,289.7899,286.7816,287.88,9453782.0
2025-05-08 13:00:00,287.88,288.37,286.12,287.7107,7461664.0
2025-05-08 14:00:00,287.72,289.08,286.9622,287.9104,7216370.0
2025-05-08 15:00:00,287.9,289.79,284.61,284.89,12937023.0
2025-05-08 16:00:00,284.9,369.2894,206.1134,284.38,11454922.0
2025-05-08 17:00:00,284.35,373.1189,192.815,284.95,143785.0
2025-05-08 18:00:00,284.94,284.99,284.51,284.7,125061.0
2025-05-08 19:00:00,284.7,285.3,284.65,285.0,173558.0
2025-05-09 04:00:00,286.65,288.09,285.82,286.93,282112.0
2025-05-09 05:00:00,286.92,288.0,286.92,287.87,118894.0
2025-05-09 06:00:00,287.88,288.69,287.71,288.25,227089.0
2025-05-09 07:00:00,288.28,288.99,286.57,287.75,525858.0
2025-05-09 08:00:00,287.75,288.91,275.35,288.7001,904939.0
2025-05-09 09:00:00,288.72,303.7,279.9,303.1959,28586951.0
2025-05-09 10:00:00,303.17,307.04,298.45,300.82,34469590.0
2025-05-09 11:00:00,300.87,303.2729,295.0,299.01,17233136.0
2025-05-09 12:00:00,299.0,299.0719,295.11,297.015,10784022.0
2025-05-09 13:00:00,297.0301,301.06,290.17,301.0292,10336348.0
2025-05-09 14:00:00,300.99,301.11,296.51,297.13,9441796.0
2025-05-09 15:00:00,297.13,299.62,296.74,298.1017,13294624.0
2025-05-09 16:00:00,298.27,316.1889,297.77,298.59,9115580.0
2025-05-09 17:00:00,298.6,316.1889,288.2919,298.59,329401.0
2025-05-09 18:00:00,298.65,299.0,298.5,298.92,128494.0
2025-05-09 19:00:00,298.94,299.35,298.8,299.3,198682.0
